,Hecho_Violatorio,Autoridad,Ano,Entidad,Municipio,Cantidad_Quejas
5678,"TRATO CRUEL, INHUMANO O DEGRADANTE",POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,TEPIC,1
5679,RETENCION ILEGAL,POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,ISLAS MARIAS,1
5680,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,TUXPAN,1
5681,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,TUXPAN,1
5682,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,NAYARIT,TEPIC,3
5683,"INCUMPLIR CON ALGUNA DE LAS FORMALIDADES PARA LA EMISION DE LA ORDEN DE CATEO O DURANTE LA EJECUCION DE ESTE, ASI COMO PARA LAS VISITAS DOMICILIARIAS",SECRETARIA DE MARINA,2014,NAYARIT,TEPIC,2
5684,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,NAYARIT,TEPIC,2
5685,RETENCION ILEGAL,SECRETARIA DE MARINA,2014,NAYARIT,TEPIC,1
5686,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,NAYARIT,ISLAS MARIAS,1
5687,DETENCION ARBITRARIA,SECRETARIA DE MARINA,2014,NAYARIT,IXTLAN DEL RIO,1
5688,EJERCER VIOLENCIA DESPROPORCIONADA DURANTE LA DETENCION,SECRETARIA DE MARINA,2014,NAYARIT,IXTLAN DEL RIO,1
5689,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,SECRETARIA DE MARINA,2014,NAYARIT,IXTLAN DEL RIO,1
5690,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE MARINA,2014,NAYARIT,IXTLAN DEL RIO,1
5691,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES,2014,NAYARIT,TEPIC,1
5692,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES,2014,NAYARIT,TEPIC,1
5693,OMITIR PROPORCIONAR ATENCION MEDICA,"CENTRO FEDERAL DE READAPTACION SOCIAL N° 3 ""NORESTE"" DE LA SEGOB",2014,NAYARIT,TEPIC,1
5694,OMITIR PROPORCIONAR ATENCION MEDICA,"CENTRO FEDERAL DE READAPTACION SOCIAL N° 4 ""NOROESTE"" DE LA SEGOB",2014,NAYARIT,TEPIC,1
5695,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",COMISION FEDERAL DE ELECTRICIDAD,2014,NAYARIT,ACAPONETA,1
5696,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",COMISION NACIONAL DE SEGURIDAD,2014,NAYARIT,ISLAS MARIAS,1
5697,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,COMISION NACIONAL DE SEGURIDAD,2014,NAYARIT,ISLAS MARIAS,1
5698,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,COMISION NACIONAL DE SEGURIDAD,2014,NAYARIT,ISLAS MARIAS,1
5699,NEGLIGENCIA MEDICA,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,2014,NAYARIT,TEPIC,1
5700,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,TEPIC,1
5701,DETENCION ARBITRARIA,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,2014,NAYARIT,TEPIC,1
5702,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,PROCURADURIA FEDERAL DEL CONSUMIDOR,2014,NAYARIT,TEPIC,1
5703,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES","SECRETARIA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",2014,NAYARIT,LA YESCA,1
5704,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,NAYARIT,IXTLAN DEL RIO,1
5705,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE RELACIONES EXTERIORES,2014,NAYARIT,ISLAS MARIAS,1
5706,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SERVICIO POSTAL MEXICANO,2014,NAYARIT,(SIN DATO),1
5707,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,28
5708,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,24
5709,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,18
5710,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,10
5711,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,9
5712,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,5
5713,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,3
5714,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,3
5715,OMITIR PRESTAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,3
5716,OMITIR SUMINISTRAR MEDICAMENTOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,3
5717,"OMITIR DICTAR EL ACUERDO ESCRITO CORRESPONDIENTE, EN RESPUESTA A LA PETICION",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,2
5718,OMITIR FUNDAR EL ACTO DE AUTORIDAD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,2
5719,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,2
5720,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS ADULTOS MAYORES,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5721,"COBRAR EN FORMA INEQUITATIVA Y NO PROPORCIONAL LAS CONTRIBUCIONES, IMPUESTOS, SANCIONES Y DERECHOS",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5722,INCUMPLIR CON EL PAGO DE PENSION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5723,INTEGRACION IRREGULAR DE EXPEDIENTES,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5724,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5725,OMITIR BRINDAR EL SERVICIO DE HOSPITALIZACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5726,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5727,OMITIR BRINDAR PROTECCION Y AUXILIO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5728,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5729,"OMITIR PRESTAR ASISTENCIA MEDICA ESPECIAL, EN CASO DE MATERNIDAD E INFANCIA",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5730,OMITIR PRESTAR EL SERVICIO EN MATERIA DE ELECTRICIDAD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CHIHUAHUA,1
5731,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,26
5732,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,21
5733,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,14
5734,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,9
5735,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,7
5736,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,6
5737,OMITIR PRESTAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,5
5738,OMITIR SUMINISTRAR MEDICAMENTOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,5
5739,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,3
5740,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,3
5741,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5742,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5743,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5744,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS ADULTOS MAYORES,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5745,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5746,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5747,INCUMPLIR CON EL PAGO DE PENSION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5748,OMITIR BRINDAR PROTECCION Y AUXILIO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5749,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5750,OMITIR FUNDAR EL ACTO DE AUTORIDAD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5751,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5752,"OMITIR PRESTAR ASISTENCIA MEDICA ESPECIAL, EN CASO DE MATERNIDAD E INFANCIA",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5753,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5754,PRIVACION DE LA VIDA DEL PRODUCTO DE LA CONCEPCION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5755,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,11
5756,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,11
5757,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,6
5758,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,6
5759,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,4
5760,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,2
5761,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,1
5762,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,1
5763,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,1
5764,PRIVACION DE LA VIDA DEL PRODUCTO DE LA CONCEPCION,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,1
5765,"TRATO CRUEL, INHUMANO O DEGRADANTE",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,DELICIAS,1
5766,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,6
5767,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,6
5768,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,4
5769,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,4
5770,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,3
5771,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,2
5772,OMITIR SUMINISTRAR MEDICAMENTOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,2
5773,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,1
5774,OMITIR PRESTAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,NUEVO CASAS GRANDES,1
5775,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CUAUHTEMOC,2
5776,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CUAUHTEMOC,2
5777,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CUAUHTEMOC,1
5778,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CUAUHTEMOC,1
5779,OMITIR SUMINISTRAR MEDICAMENTOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CUAUHTEMOC,1
5780,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,2
5781,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,2
5782,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,1
5783,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,1
5784,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,1
5785,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,HIDALGO DEL PARRAL,1
5786,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,(SIN DATO),1
5787,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,BOCOYNA,1
5788,NEGLIGENCIA MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,BOCOYNA,1
5789,OMITIR PROPORCIONAR ATENCION MEDICA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,BOCOYNA,1
5790,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,BOCOYNA,1
5791,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,BOCOYNA,1
5792,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CAMARGO,1
5793,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CAMARGO,1
5794,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,INSTITUTO MEXICANO DEL SEGURO SOCIAL,2014,CHIHUAHUA,CAMARGO,1
5795,OMITIR PROPORCIONAR ATENCION MEDICA,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,18
5796,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,11
5797,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LAS PERSONAS PRIVADAS DE SU LIBERTAD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,8
5798,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5799,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5800,"TRATO CRUEL, INHUMANO O DEGRADANTE",ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,2
5801,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS INDIGENAS,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5802,DIFERIR LA PRESENTACION DEL DETENIDO ANTE LA AUTORIDAD COMPETENTE,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5803,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5804,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5805,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5806,OMITIR FUNDAR EL ACTO DE AUTORIDAD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5807,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5808,RETENCION ILEGAL,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,CIUDAD JUAREZ,1
5809,ACCIONES U OMISIONES CONTRARIAS A LOS DERECHOS A LAS PERSONAS PRIVADAS DE SU LIBERTAD,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,VALLE DE ZARAGOZA,1
5810,OMITIR PROPORCIONAR ATENCION MEDICA,ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN,2014,CHIHUAHUA,VALLE DE ZARAGOZA,1
